Port_IDs,PnL,Win_Positions,Total_Positions,Win_Rate,ROI,Sharpe_Ratio,MDD,ROI_norm,Sharpe_Ratio_norm,Win_Rate_norm,MDD_norm,Composite_Score,Rank
3826087012661391104,532.65697373,63.0,108.0,0.5833333333333334,0.27026317818067985,7.0647742082901654,-12.925980130000028,0.9999999963361788,0.433106042553925,0.7267932480396133,0.0006057713526529396,0.5754116155454844,1.0
3891020560590657281,2856.30056379,283.0,437.0,0.6475972540045767,0.037908962003235964,23.636994269474723,0.0,0.1486957128150986,0.8390679356065858,0.806861677130607,4.6851411639181606e-14,0.4577014299526361,2.0
4041860229502600193,2327.33599982,38.0,97.0,0.3917525773195876,0.026867613401699516,30.20658031009471,0.0,0.10824218666449399,0.9999999999755036,0.48809679102513054,4.6851411639181606e-14,0.43009201419703474,3.0
4020204877254599680,71998.85595307,1993.0,6050.0,0.3294214876033058,0.006290503189197149,4.686557858358432,-21338.051187779958,0.032851335770654445,0.37484799336422187,0.41043653648442485,1.0,0.40439710603734785,4.0
4021243448368889856,1498.1937578999998,2290.0,6050.0,0.3785123966942149,0.001712312925088602,28.50397177191148,-490.49299994,0.0160776656099472,0.958291998106315,0.4716004357999663,0.02298677585991915,0.39122834144685575,5.0
3986814617275053313,16337.46188064,2780.0,3554.0,0.7822172200337648,0.0,15.084787929222,-2.3819474699994316,0.009804057358555609,0.6295685527328466,0.9745889040357545,0.0001116291009913839,0.38675188965476986,6.0
4037121179310444801,7237.92173826,772.0,1595.0,0.48401253918495296,0.0025953889207596553,21.44497339852848,-1198.3317800000032,0.019313098089533895,0.7853710296341295,0.6030463636219415,0.0561593825722575,0.3732463875559388,7.0
4000222729738650369,1803.62013328,537.0,958.0,0.5605427974947808,0.014154285889776944,15.824488536591591,-151.8992973999999,0.06166282887724015,0.6476886511717578,0.6983978064967592,0.007118705268079228,0.3539087463676671,8.0
3886752488982104320,7195.178324640001,931.0,1249.0,0.745396317053643,0.017948772411648783,8.825613132979345,-38.20810000000006,0.07556514871879456,0.47624048685821674,0.9287125891683129,0.0017906086954594391,0.35164233024585784,9.0
4037282461943784704,4760.365619499999,136.0,504.0,0.2698412698412698,0.005045449679285892,24.775214179081626,-1680.7088622099998,0.028289682431035374,0.8669503742604457,0.33620367936526324,0.0787658089026162,0.35156591466102016,10.0
4030635536196756737,2581.61417484,679.0,1294.0,0.5247295208655333,0.0,18.851595271524303,-47.186786249999955,0.009804057358555609,0.7218422634245933,0.6537769248207959,0.002211391557539355,0.3506915595106117,11.0
4029749871687083265,3662.13654822,367.0,856.0,0.4287383177570093,0.062097332710294564,12.8220201444717,0.0,0.2373175761626929,0.5741385928334277,0.5341784820371256,4.6851411639181606e-14,0.3502725471062707,12.0
4017110277719148289,2899.93302141,143.0,252.0,0.5674603174603174,0.009422089390865395,14.930999015176482,0.0,0.04432490742153326,0.6258012579198445,0.7070165610181272,4.6851411639181606e-14,0.34244116180604817,13.0
4022641794255717633,2176.83382376,2634.0,6052.0,0.43522802379378717,0.038017849075666674,13.177561407545667,-115.99559387999989,0.14909465557028212,0.582848120204109,0.5422642098016263,0.005436091274700128,0.3291228929475826,14.0
3943533600390906881,2361.4245720499994,964.0,1759.0,0.5480386583285958,0.0,15.068252307321986,-32.30352141000003,0.009804057358555609,0.629163487367763,0.6828185083507062,0.001513892769621883,0.3285567436419612,15.0
4039129759104249600,1264.28919972,59.0,133.0,0.44360902255639095,0.0,18.330299385719048,0.0,0.009804057358555609,0.7090723228939498,0.5527063583373213,4.6851411639181606e-14,0.3262041857432253,16.0
3733192481840423936,2923.97719988,553.0,689.0,0.8026124818577649,0.0050346191244008765,1.8241816197312737,-2743.12,0.028250001215354387,0.3047297067271944,0.9999999987540688,0.12855532006464687,0.3256049761465078,17.0
4030626027667524352,3796.34803991,116.0,233.0,0.4978540772532189,0.0031501035202458495,14.805539587237174,-670.8059999999987,0.021345473152242656,0.6227279372253627,0.6202919688970826,0.031437078958041265,0.3235678326843064,18.0
4000877324693233921,-836.1005588599955,2714.0,6050.0,0.44859504132231404,-0.0001656777400394658,-0.9663463219762451,-14682.679015479995,0.009197043756220205,0.23637145408213783,0.5589185950921871,0.6880984062822428,0.3230739496263934,19.0
4035430878731345664,2493.75041995,43.0,89.0,0.48314606741573035,0.03795590618806442,10.645522434521093,0.0,0.14886770791072604,0.5208219504467002,0.6019667993393908,4.6851411639181606e-14,0.3213002573751154,20.0
