Port_IDs,PnL,Win_Positions,Total_Positions,Win_Rate,ROI,Sharpe_Ratio,MDD,ROI_norm,Sharpe_Ratio_norm,Win_Rate_norm,MDD_norm,Composite_Score,Rank
3672754654734989568,566.59765978,210.0,474.0,0.4430379746835443,0.009073845984502745,4.7004393511868585,-80.77703672000018,0.04304900587594609,0.3751880417757334,0.5519948719288201,0.0037855864160292185,0.2366272059644737,97.0
3733192481840423936,2923.97719988,553.0,689.0,0.8026124818577649,0.0050346191244008765,1.8241816197312737,-2743.12,0.028250001215354387,0.3047297067271944,0.9999999987540688,0.12855532006464687,0.3256049761465078,17.0
3768170840939476993,243.66889897,6.0,14.0,0.42857142857142855,0.0,6.48074069840786,0.0,0.009804057358555609,0.418799247905854,0.533970549580124,4.6851411639181606e-14,0.23537510149535706,99.0
3784403294629753856,2521.81430468,1829.0,6050.0,0.3023140495867769,0.006833408347206974,9.873718303620393,-271.29198097000017,0.03484044315231908,0.5019154270666385,0.3766625314751696,0.012713999914216734,0.2389020673435645,93.0
3786761687746711808,205.02139999,37.0,82.0,0.45121951219512196,0.006883123081523415,2.3974489060252226,-123.46026665,0.03502258904566227,0.31877276625149675,0.5621885054522444,0.0057859204462729075,0.21973349176885115,115.0
3788465932399412480,13960.966456670001,1369.0,3069.0,0.44607363962202673,0.016541557740414596,5.649855337042922,-1772.2194397900003,0.07040936589219626,0.39844543936577215,0.5557771018384196,0.08305441880305586,0.2684227457056856,57.0
3818233536529843712,6419.607907139999,482.0,1421.0,0.3391977480647431,0.014534008561877176,4.744394594474257,-2036.5375697500006,0.06305406482133909,0.37626479273056396,0.4226170852177664,0.09544159172873323,0.23540739265487085,98.0
3819545518395756033,980.06319996,26.0,68.0,0.38235294117647056,0.0,3.6431991573432705,0.0,0.009804057358555609,0.3492893251934346,0.4763854903116792,4.6851411639181606e-14,0.20300511282794229,128.0
3826087012661391104,532.65697373,63.0,108.0,0.5833333333333334,0.27026317818067985,7.0647742082901654,-12.925980130000028,0.9999999963361788,0.433106042553925,0.7267932480396133,0.0006057713526529396,0.5754116155454844,1.0
3858510226868015873,-280.97295039,243.0,996.0,0.24397590361445784,0.0,-0.8351850338345426,-827.30973014,0.009804057358555609,0.2395844505685859,0.3039772104537453,0.038771569290018015,0.14336630832689512,147.0
3865845304835489536,1406.06618669,451.0,882.0,0.5113378684807256,0.0,7.4410208525440416,-78.66142699000001,0.009804057358555609,0.4423227799247838,0.6370918461921585,0.003686439136299513,0.2637937082506935,69.0
3878631538480067329,3921.2330411600005,1415.0,2811.0,0.5033795802205621,0.008173599314778313,5.8007724256695,-1039.8421924400013,0.03975066311819417,0.4021423844200042,0.6271763658948332,0.0487318257553182,0.2677495525914898,60.0
3879821005658659073,4268.00656095,289.0,872.0,0.33142201834862384,0.0443110310777003,3.997032316035483,-1961.0298660699996,0.17215174867341587,0.3579570099331475,0.41292906032132676,0.09190295068717269,0.2599990297836689,73.0
